"post.prov","group","elpd","prov"
"AB","10",-0.835235933655437,"ON"
"AB","2",-0.866866809597065,"ON"
"AB","3",-0.850148754561597,"ON"
"AB","4",-0.874286507666333,"ON"
"AB","5",-0.87493116614424,"ON"
"AB","6",-0.861016045328327,"ON"
"AB","7",-0.881245138935422,"ON"
"AB","8",-0.877079466472797,"ON"
"AB","9",-0.878440226400398,"ON"
"IN","1",-0.882722250646275,"ON"
"IN","10",-0.880636551366798,"ON"
"IN","2",-0.872604303304295,"ON"
"IN","3",-0.875381382849929,"ON"
"IN","4",-0.874391889443924,"ON"
"IN","5",-0.879640003751258,"ON"
"IN","6",-0.876003416955272,"ON"
"IN","7",-0.88256149949406,"ON"
"IN","8",-0.860717766897765,"ON"
"IN","9",-0.872165932239621,"ON"
"IPU","1",-0.970497819775487,"ON"
"IPU","10",-0.974447336652975,"ON"
"IPU","2",-0.974513241511473,"ON"
"IPU","3",-0.971288527892758,"ON"
"IPU","4",-0.980539595781211,"ON"
"IPU","5",-0.979609818980924,"ON"
"IPU","6",-0.972563099403451,"ON"
"IPU","7",-0.974505466470864,"ON"
"IPU","8",-0.975996196475351,"ON"
"IPU","9",-0.97378559444765,"ON"
"NB2","1",-0.820991766351567,"ON"
"NB2","10",-0.828101604578051,"ON"
"NB2","2",-0.833496801767053,"ON"
"NB2","3",-0.835030273116372,"ON"
"NB2","4",-0.829731664144944,"ON"
"NB2","5",-0.825687848385914,"ON"
"NB2","6",-0.823394394414532,"ON"
"NB2","7",-0.818024053222933,"ON"
"NB2","8",-0.827441056337795,"ON"
"NB2","9",-0.825281561555384,"ON"
"QC","1",-0.733781164990436,"ON"
"QC","10",-0.734174571222869,"ON"
"QC","2",-0.734186568327343,"ON"
"QC","3",-0.735985633504836,"ON"
"QC","4",-0.738903928127489,"ON"
"QC","5",-0.72856509722913,"ON"
"QC","6",-0.735803614038568,"ON"
"QC","7",-0.733056202644871,"ON"
"QC","8",-0.728813303977165,"ON"
"QC","9",-0.730932019158568,"ON"
"AB","1",-0.85762955364268,"QC"
"AB","10",-0.820749641864718,"QC"
"AB","2",-0.851573219915975,"QC"
"AB","3",-0.836477328178794,"QC"
"AB","4",-0.858141787516968,"QC"
"AB","5",-0.858637952138854,"QC"
"AB","6",-0.847376412326133,"QC"
"AB","7",-0.865342411015182,"QC"
"AB","8",-0.861527889005867,"QC"
"AB","9",-0.861780122982338,"QC"
"IN","1",-0.862696359513139,"QC"
"IN","10",-0.859636482474645,"QC"
"IN","2",-0.851552027226492,"QC"
"IN","3",-0.853082901546013,"QC"
"IN","4",-0.852122384632405,"QC"
"IN","5",-0.858180908832019,"QC"
"IN","6",-0.854872267304812,"QC"
"IN","7",-0.863206865590453,"QC"
"IN","8",-0.836681793560761,"QC"
