"prov.orig","prov.comp","temp","cup","elpd"
"AB","IN",10,"10",-6.63291488075928
"IN","IN",10,"10",-4.03624270669512
"IPU","IN",10,"10",-8.97003286414312
"NB2","IN",10,"10",-10.4995734621339
"ON","IN",10,"10",-16.6597762196779
"QC","IN",10,"10",-8.97900748579301
"AB","IPU",10,"10",-6.77852703183056
"IN","IPU",10,"10",-6.54986803624478
"IPU","IPU",10,"10",-5.24340772399388
"NB2","IPU",10,"10",-7.63105582134813
"ON","IPU",10,"10",-16.2260975970884
"QC","IPU",10,"10",-6.01715381046109
"AB","NB2",10,"10",-6.41373774250322
"IN","NB2",10,"10",-6.85364396198545
"IPU","NB2",10,"10",-12.9987398617962
"NB2","NB2",10,"10",-4.10268565009176
"ON","NB2",10,"10",-7.32794866507869
"QC","NB2",10,"10",-5.55431007448005
"AB","ON",10,"10",-6.95683503479593
"IN","ON",10,"10",-7.76535698494196
"IPU","ON",10,"10",-14.1834876708049
"NB2","ON",10,"10",-6.01840787131752
"ON","ON",10,"10",-8.17940648391791
"QC","ON",10,"10",-5.66891941257233
"AB","QC",10,"10",-7.8092326548195
"IN","QC",10,"10",-7.04543454215566
"IPU","QC",10,"10",-13.7356385487611
"NB2","QC",10,"10",-5.98404675377919
"ON","QC",10,"10",-7.91447341322224
"QC","QC",10,"10",-2.78343638286917
"AB","AB",15,"10",-6.87097282925178
"IPU","AB",15,"10",-6.94304860183001
"NB2","AB",15,"10",-7.91576621358041
"ON","AB",15,"10",-7.35518052497787
"QC","AB",15,"10",-7.60422828451929
"AB","IN",15,"10",-12.4984420941785
"IPU","IN",15,"10",-6.1320361408423
"NB2","IN",15,"10",-14.4707998973426
"ON","IN",15,"10",-12.589082620574
"QC","IN",15,"10",-13.1383209672635
"AB","IPU",15,"10",-20.3055175104484
"IPU","IPU",15,"10",-4.18776207032538
"NB2","IPU",15,"10",-10.9085307896087
"ON","IPU",15,"10",-7.99245720110491
"QC","IPU",15,"10",-15.2263000573712
"AB","NB2",15,"10",-8.67184323395116
"IPU","NB2",15,"10",-15.5185985061763
"NB2","NB2",15,"10",-5.31034861150026
"ON","NB2",15,"10",-8.23685914525806
"QC","NB2",15,"10",-8.95456815237588
"AB","ON",15,"10",-10.3513175575152
"IPU","ON",15,"10",-17.4390714258125
"NB2","ON",15,"10",-8.12394821009973
"ON","ON",15,"10",-5.97177123673573
"QC","ON",15,"10",-11.1088374693625
"AB","QC",15,"10",-9.39689888544881
"IPU","QC",15,"10",-16.5688317560114
"NB2","QC",15,"10",-7.49083772984829
"ON","QC",15,"10",-9.13108288552847
"QC","QC",15,"10",-5.37355789733756
"IN","AB",20,"10",-5.81052864121614
"IPU","AB",20,"10",-5.51298309885077
"NB2","AB",20,"10",-6.13679554547411
"ON","AB",20,"10",-5.86098341529137
"QC","AB",20,"10",-5.08329249238997
"IN","IN",20,"10",-4.24562342817308
"IPU","IN",20,"10",-4.81606526823209
"NB2","IN",20,"10",-10.9287931765641
"ON","IN",20,"10",-10.3380898334608
"QC","IN",20,"10",-8.06092961274073
"IN","IPU",20,"10",-6.49872402456285
"IPU","IPU",20,"10",-2.61560727554523
"NB2","IPU",20,"10",-5.37580137445445
"ON","IPU",20,"10",-6.2421532859968
"QC","IPU",20,"10",-4.37391936505348
"IN","NB2",20,"10",-8.97190408707627
"IPU","NB2",20,"10",-10.9939057908313
"NB2","NB2",20,"10",-4.79082904252634
"ON","NB2",20,"10",-6.80903187225823
"QC","NB2",20,"10",-6.84269648113435
"IN","ON",20,"10",-7.42173425204856
"IPU","ON",20,"10",-8.8927450635707
"NB2","ON",20,"10",-5.49410841814923
"ON","ON",20,"10",-4.00573582168297
"QC","ON",20,"10",-5.31220725834015
"IN","QC",20,"10",-8.22929890425218
"IPU","QC",20,"10",-10.7582623946464
"NB2","QC",20,"10",-6.42698620680243
"ON","QC",20,"10",-6.29411204324744
"QC","QC",20,"10",-2.99033593730287
"AB","AB",25,"10",-3.41504420577763
"IN","AB",25,"10",-3.90606499891446
"IPU","AB",25,"10",-3.48159017684798
"NB2","AB",25,"10",-11.3466594978407
"ON","AB",25,"10",-4.04272200032239
"QC","AB",25,"10",-3.83442714447062
"AB","IN",25,"10",-7.34521904311864
