"prov.orig","prov.comp","temp","mean","se"
"ON","AB",25,-4.93987512793779,0.211786388692759
"QC","AB",25,-4.51227994463765,0.154665205890624
"AB","IN",25,-5.58038540071609,0.324425387237742
"IN","IN",25,-3.57940031105672,0.205348540880968
"IPU","IN",25,-4.65594365095517,0.354886829739448
"NB2","IN",25,-11.5563858517866,0.535177087080658
"ON","IN",25,-9.05295994617268,0.545616114894578
"QC","IN",25,-8.16313291308041,0.375455495437781
"AB","IPU",25,-6.69679357582203,0.255952860110353
"IN","IPU",25,-4.10847661773432,0.375391751295621
"IPU","IPU",25,-3.42574970163824,0.313996936857723
"NB2","IPU",25,-5.8888908184252,0.409286444490981
"ON","IPU",25,-5.08586488238915,0.343315608612187
"QC","IPU",25,-4.39193200231504,0.248650524661831
"AB","NB2",25,-8.88620506440807,0.273743102425838
"IN","NB2",25,-6.8226304048563,0.280329424607891
"IPU","NB2",25,-10.2124782303971,0.182108144627388
"NB2","NB2",25,-3.836942784974,0.22155147176544
"ON","NB2",25,-6.21161682966039,0.178468541807833
"QC","NB2",25,-6.00690926890826,0.160016108064205
"AB","ON",25,-8.10778849846731,0.263797300240339
"IN","ON",25,-5.77119020840424,0.264928470697981
"IPU","ON",25,-9.20409553470342,0.205396616808603
"NB2","ON",25,-4.64844395081723,0.157954399749633
"ON","ON",25,-4.22640692802949,0.312989702025585
"QC","ON",25,-5.34050489108524,0.152616438120401
"AB","QC",25,-9.17538879452156,0.279482684901015
"IN","QC",25,-5.54109042579128,0.256728970463306
"IPU","QC",25,-8.61865847306172,0.188087266917204
"NB2","QC",25,-4.4990637350381,0.171236871194307
"ON","QC",25,-5.36564256100173,0.194097073542107
"QC","QC",25,-3.6748426491748,0.253891943441027
"AB","AB",30,-5.03762675815466,0.224657895520978
"IN","AB",30,-7.71694245075355,0.210968445862119
"IPU","AB",30,-5.52951401196167,0.0811364303377985
"NB2","AB",30,-6.03602942604677,0.120146673477739
"ON","AB",30,-5.95349754584201,0.167561319173822
"QC","AB",30,-5.70271594301457,0.0734264289947689
"AB","IN",30,-7.10974441249865,0.622368522662396
"IN","IN",30,-6.43401563225383,0.220371949391143
"IPU","IN",30,-4.15100372142967,0.133179665806186
"NB2","IN",30,-8.37014208323384,0.355192331221275
"ON","IN",30,-7.3137747776777,0.271840079797763
"QC","IN",30,-6.20292104322105,0.194594238239815
"AB","IPU",30,-7.6670902728073,0.584545110317688
"IN","IPU",30,-7.12891902628209,0.253593955267725
"IPU","IPU",30,-4.03355030779585,0.186803612151057
"NB2","IPU",30,-6.31891269280893,0.239692271520074
"ON","IPU",30,-6.18332928977869,0.210321990881279
"QC","IPU",30,-5.18248973681485,0.120426143121804
"AB","NB2",30,-7.12180121453831,0.341190468293308
"IN","NB2",30,-7.18989714916722,0.17539170904865
"IPU","NB2",30,-9.55067171966499,0.178987890583593
"NB2","NB2",30,-5.07451553343429,0.206954136242754
"ON","NB2",30,-7.37722159849488,0.145466388531671
"QC","NB2",30,-7.21507798626272,0.109194755671279
"AB","ON",30,-6.50216905181234,0.303737150608357
"IN","ON",30,-7.23868439773416,0.223205520895253
"IPU","ON",30,-8.95149854903404,0.180070222184526
"NB2","ON",30,-6.09732153620048,0.140784216688952
"ON","ON",30,-4.95729376199616,0.273871004709689
"QC","ON",30,-6.53516955004816,0.105424949882548
"AB","QC",30,-7.31123156565444,0.323605687184511
"IN","QC",30,-6.97601009045349,0.208253774867338
"IPU","QC",30,-8.12517927526895,0.150054317201934
"NB2","QC",30,-6.08419072470561,0.125785956324081
"ON","QC",30,-6.67887706348496,0.153958055378247
"QC","QC",30,-4.40490146213075,0.112539610425211
"AB","AB",35,-8.11715525308352,1.37337847128371
"IN","AB",35,-9.21946363572763,0.38262168804613
"IPU","AB",35,-7.79537351556666,0.121855735968828
"NB2","AB",35,-9.31083325780625,0.391275482836175
"ON","AB",35,-6.94358693282463,0.221925235465712
"QC","AB",35,-6.73839600027285,0.114250999615993
"AB","IN",35,-10.8319060562496,1.40801750247282
"IN","IN",35,-7.56590732042493,0.351327794095643
"IPU","IN",35,-7.86313798766167,0.39859394168431
"NB2","IN",35,-12.6217791881635,0.590371211955956
"ON","IN",35,-7.66300699716812,0.407511304619783
"QC","IN",35,-6.99289326518825,0.233381709628642
"AB","IPU",35,-10.4395668778931,0.934067723648186
"IN","IPU",35,-12.1614147643554,0.657512221887258
"IPU","IPU",35,-5.19664469827412,0.225453790419295
"NB2","IPU",35,-12.5090063356624,0.614914082008034
"ON","IPU",35,-7.76459030525609,0.416507931259288
"QC","IPU",35,-7.47852366590364,0.233163359798792
"AB","NB2",35,-8.39235005614263,0.928207865071187
"IN","NB2",35,-9.02225904690689,0.341300692111059
"IPU","NB2",35,-22.9228466940127,0.540236957259766
"NB2","NB2",35,-7.948050760026,0.424444720553396
"ON","NB2",35,-11.8455906400708,0.403431980188029
"QC","NB2",35,-10.3312274549772,0.235551256187802
"AB","ON",35,-6.75751331949917,0.787434196879195
"IN","ON",35,-8.2219142676044,0.348450487336347
"IPU","ON",35,-13.8476973790557,0.271338556012935
"NB2","ON",35,-8.01536326176836,0.339583672709746
"ON","ON",35,-6.67298628918718,0.348686314472757
"QC","ON",35,-7.09073050788153,0.136911363557494
"AB","QC",35,-7.79940467571942,0.65894257682038
"IN","QC",35,-7.7373983167031,0.29537290070538
"IPU","QC",35,-14.2490936873981,0.264033241402487
"NB2","QC",35,-7.50610714941114,0.286948057630577
"ON","QC",35,-8.19407669388218,0.244728414504262
"QC","QC",35,-5.85445834522722,0.176099918860082
